Hashtag,Keyword,Sentiment,Frequency,Positive (%),Neutral (%),Negative (%)
coles,"gluten-free vegan cookies",POSITIVE,1,0.980000,0.020000,0.000000
coles,"great work",POSITIVE,1,0.980000,0.010000,0.010000
coles,"great writeup",POSITIVE,1,0.980000,0.020000,0.000000
coles,"integrity food co",POSITIVE,1,0.980000,0.020000,0.000000
coles,"mathew stillone",POSITIVE,1,0.980000,0.020000,0.000000
coles,"move",POSITIVE,1,0.980000,0.010000,0.010000
coles,"challenge",POSITIVE,1,0.880000,0.110000,0.010000
coles,"point",POSITIVE,1,0.880000,0.110000,0.010000
coles,"risk management review",POSITIVE,1,0.880000,0.110000,0.010000
coles,"chai",POSITIVE,1,0.570000,0.120000,0.310000
coles,"couch",POSITIVE,1,0.570000,0.120000,0.310000
coles,"sandra_sully",POSITIVE,1,0.570000,0.120000,0.310000
coles,"buniehops",POSITIVE,1,0.520000,0.360000,0.120000
coles,"eatme",POSITIVE,1,0.520000,0.360000,0.120000
coles,"fun",POSITIVE,1,0.520000,0.360000,0.120000
coles,"rt",POSITIVE,1,0.520000,0.360000,0.120000
coles,"slut",POSITIVE,1,0.520000,0.360000,0.120000
coles,"staytruehops",POSITIVE,1,0.520000,0.360000,0.120000
coles,"6 jul",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"catalogue",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"competition",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"food",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"giftcard",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"giveaway",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"grocery",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"jun",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"june",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"myer",NEUTRAL,1,0.000000,1.000000,0.000000
coles,"asia",NEUTRAL,1,0.010000,0.950000,0.040000
coles,"ceo",NEUTRAL,1,0.010000,0.950000,0.040000
coles,"member",NEUTRAL,1,0.010000,0.950000,0.040000
